NOCs,Flags,,,,,,,,,,
AFG,https://gstatic.olympics.com/s3/noc/oly/3x2/AFG.png,,,,,,,,,,
ALB,https://gstatic.olympics.com/s3/noc/oly/3x2/ALB.png,,,,,,,,,,
ALG,https://gstatic.olympics.com/s3/noc/oly/3x2/ALG.png,,,,,,,,,,
ASA,https://gstatic.olympics.com/s3/noc/oly/3x2/ASA.png,,,,,,,,,,
AND,https://gstatic.olympics.com/s3/noc/oly/3x2/AND.png,,,,,,,,,,
ANG,https://gstatic.olympics.com/s3/noc/oly/3x2/ANG.png,,,,,,,,,,
ANT,https://gstatic.olympics.com/s3/noc/oly/3x2/ANT.png,,,,,,,,,,
ARG,https://gstatic.olympics.com/s3/noc/oly/3x2/ARG.png,,,,,,,,,,
ARM,https://gstatic.olympics.com/s3/noc/oly/3x2/ARM.png,,,,,,,,,,
ARU,https://gstatic.olympics.com/s3/noc/oly/3x2/ARU.png,,,,,,,,,,
AUS,https://gstatic.olympics.com/s3/noc/oly/3x2/AUS.png,,,,,,,,,,
AUT,https://gstatic.olympics.com/s3/noc/oly/3x2/AUT.png,,,,,,,,,,
AZE,https://gstatic.olympics.com/s3/noc/oly/3x2/AZE.png,,,,,,,,,,
BAH,https://gstatic.olympics.com/s3/noc/oly/3x2/BAH.png,,,,,,,,,,
BRN,https://gstatic.olympics.com/s3/noc/oly/3x2/BRN.png,,,,,,,,,,
BAN,https://gstatic.olympics.com/s3/noc/oly/3x2/BAN.png,,,,,,,,,,
BAR,https://gstatic.olympics.com/s3/noc/oly/3x2/BAR.png,,,,,,,,,,
BLR,https://gstatic.olympics.com/s3/noc/oly/3x2/BLR.png,,,,,,,,,,
BEL,https://gstatic.olympics.com/s3/noc/oly/3x2/BEL.png,,,,,,,,,,
BIZ,https://gstatic.olympics.com/s3/noc/oly/3x2/BIZ.png,,,,,,,,,,
BEN,https://gstatic.olympics.com/s3/noc/oly/3x2/BEN.png,,,,,,,,,,
BER,https://gstatic.olympics.com/s3/noc/oly/3x2/BER.png,,,,,,,,,,
BHU,https://gstatic.olympics.com/s3/noc/oly/3x2/BHU.png,,,,,,,,,,
BOL,https://gstatic.olympics.com/s3/noc/oly/3x2/BOL.png,,,,,,,,,,
BIH,https://gstatic.olympics.com/s3/noc/oly/3x2/BIH.png,,,,,,,,,,
BOT,https://gstatic.olympics.com/s3/noc/oly/3x2/BOT.png,,,,,,,,,,
BRA,https://gstatic.olympics.com/s3/noc/oly/3x2/BRA.png,,,,,,,,,,
IVB,https://gstatic.olympics.com/s3/noc/oly/3x2/IVB.png,,,,,,,,,,
BRU,https://gstatic.olympics.com/s3/noc/oly/3x2/BRU.png,,,,,,,,,,
BUL,https://gstatic.olympics.com/s3/noc/oly/3x2/BUL.png,,,,,,,,,,
BUR,https://gstatic.olympics.com/s3/noc/oly/3x2/BUR.png,,,,,,,,,,
BDI,https://gstatic.olympics.com/s3/noc/oly/3x2/BDI.png,,,,,,,,,,
