tour,country_code,first_name,last_name,first_initial,full_name,invert_name,exception
ATP,JPN,Y.,Kawahashi,Y,Y. Kawahashi,1,0
ATP,JPN,Kosuke,Ogura,K,Kosuke Ogura,1,0
ATP,JPN,Yosuke,Watanuki,Y,Yosuke Watanuki,1,0
ATP,JPN,Y.,Mochizuki,Y,Y. Mochizuki,1,0
ATP,JPN,N.,Koizumi,N,N. Koizumi,1,0
ATP,JPN,Makoto,Ochi,M,Makoto Ochi,1,0
ATP,JPN,Saki,Tange,S,Saki Tange,1,0
ATP,JPN,Keisuke,Saitoh,K,Keisuke Saitoh,1,0
ATP,JPN,T.,Ichikawa,T,T. Ichikawa,1,0
ATP,JPN,Shinji,Hazawa,S,Shinji Hazawa,1,0
ATP,JPN,Yuta,Tomida,Y,Yuta Tomida,1,0
ATP,JPN,S.,Shimabukuro,S,S. Shimabukuro,1,0
ATP,JPN,H.,Moriya,H,H. Moriya,1,0
ATP,JPN,Daiki,Yoshimura,D,Daiki Yoshimura,1,0
ATP,JPN,R.,Tanuma,R,R. Tanuma,1,0
ATP,JPN,T.,Yuzuki,T,T. Yuzuki,1,0
ATP,JPN,James,Trotter,J,James Trotter,1,0
ATP,JPN,K.,Matsuda,K,K. Matsuda,1,0
ATP,JPN,Shu,Matsuoka,S,Shu Matsuoka,1,0
ATP,JPN,Issei,Okamura,I,Issei Okamura,1,0
ATP,JPN,Y.,Uchiyama,Y,Y. Uchiyama,1,0
ATP,JPN,Jay,Friend,J,Jay Friend,1,0
ATP,JPN,T.,Daniel,T,T. Daniel,1,0
ATP,JPN,M.,Imamura,M,M. Imamura,1,0
ATP,JPN,Yuta,Kikuchi,Y,Yuta Kikuchi,1,0
ATP,JPN,Y.,Takahashi,Y,Y. Takahashi,1,0
ATP,JPN,S.,Imai,S,S. Imai,1,0
ATP,JPN,K.,Shibano,K,K. Shibano,1,0
ATP,JPN,Seita,Watanabe,S,Seita Watanabe,1,0
ATP,JPN,R.,Takahata,R,R. Takahata,1,0
ATP,JPN,R.,Noguchi,R,R. Noguchi,1,0
ATP,JPN,Y.,Kusuhara,Y,Y. Kusuhara,1,0
ATP,JPN,Daisuke,Sumizawa,D,Daisuke Sumizawa,1,0
ATP,JPN,Y.,Oki,Y,Y. Oki,1,0
ATP,JPN,R.,Matsumura,R,R. Matsumura,1,0
ATP,JPN,Yuya,Hirose,Y,Yuya Hirose,1,0
ATP,JPN,T.,Takamisawa,T,T. Takamisawa,1,0
ATP,JPN,Kei,Nishikori,K,Kei Nishikori,1,0
ATP,JPN,R.,Matsuda,R,R. Matsuda,1,0
ATP,JPN,Ryusuke,Horiuchi,R,Ryusuke Horiuchi,1,0
ATP,JPN,K.,Suzuki,K,K. Suzuki,1,0
ATP,JPN,Renta,Tokuda,R,Renta Tokuda,1,0
ATP,JPN,Yoshihito,Nishioka,Y,Yoshihito Nishioka,1,0
ATP,JPN,S.,Muto,S,S. Muto,1,0
ATP,JPN,Takuya,Kumasaka,T,Takuya Kumasaka,1,0
ATP,JPN,T.,Karigyo,T,T. Karigyo,1,0
ATP,JPN,K.,Nishiwaki,K,K. Nishiwaki,1,0
ATP,JPN,Yusuke,Yoshikawa,Y,Yusuke Yoshikawa,1,0
ATP,JPN,Naoki,Nakagawa,N,Naoki Nakagawa,1,0
ATP,JPN,Motoharu,Abe,M,Motoharu Abe,1,0
ATP,JPN,Y.,Kono,Y,Y. Kono,1,0
ATP,JPN,Sho,Katayama,S,Sho Katayama,1,0
ATP,JPN,Kokoro,Isomura,K,Kokoro Isomura,1,0
ATP,JPN,N.,Honda,N,N. Honda,1,0
ATP,JPN,S.,Mitsui,S,S. Mitsui,1,0
ATP,JPN,T.,Yamanaka,T,T. Yamanaka,1,0
ATP,JPN,T.,Horie,T,T. Horie,1,0
ATP,JPN,L.,Vithoontien,L,L. Vithoontien,1,0
ATP,JPN,R.,Nakamura,R,R. Nakamura,1,0
ATP,JPN,Y.,Taka,Y,Y. Taka,1,0
ATP,JPN,Naoki,Tajima,N,Naoki Tajima,1,0
ATP,JPN,H.,Shiraishi,H,H. Shiraishi,1,0
ATP,JPN,H.,Koyama,H,H. Koyama,1,0
ATP,JPN,Shintaro,Mochizuki,S,Shintaro Mochizuki,1,0
ATP,JPN,Yu,Tanaka,Y,Yu Tanaka,1,0
ATP,JPN,Asahi,Harazaki,A,Asahi Harazaki,1,0
ATP,JPN,Y.,Inui,Y,Y. Inui,1,0
ATP,JPN,S.,Nakagawa,S,S. Nakagawa,1,0
ATP,JPN,Yuta,Shimizu,Y,Yuta Shimizu,1,0
ATP,JPN,Y.,Yukawa,Y,Y. Yukawa,1,0
ATP,JPN,Jumpei,Yamasaki,J,Jumpei Yamasaki,1,0
ATP,JPN,Kaito,Uesugi,K,Kaito Uesugi,1,0
ATP,JPN,Hayato,Matsuoka,H,Hayato Matsuoka,1,0
ATP,JPN,Akira,Santillan,A,Akira Santillan,1,0
ATP,JPN,R.,Sakamoto,R,R. Sakamoto,1,0
ATP,JPN,Kenta,Miyoshi,K,Kenta Miyoshi,1,0
ATP,JPN,Ryo,Tabata,R,Ryo Tabata,1,0
ATP,JPN,K.,Uchida,K,K. Uchida,1,0
ATP,JPN,K.,Kawachi,K,K. Kawachi,1,0
ATP,JPN,S.,Fukuda,S,S. Fukuda,1,0
