Round,Player A,Player B,Winner,Participant A score,Participant B score
1° turno,A. Vallejo [1],C. Zarate [Q],,,
1° turno,F. Roncadelli,A. Collarini,,,
1° turno,V. Aboian [Q],J. Schiessl [Q],,,
1° turno,P. Saraiva dos Santos [Q],J. Reis da Silva [5],,,
1° turno,A. Barrena [4],C. Kingsley [Alt],A. Barrena [4],2,0
1° turno,M. Dellien,A. Nuñez Vera [WC],M. Dellien,2,0
1° turno,M. Kestelboim [Alt],J. Varillas,J. Varillas,0,2
1° turno,G. Justo,J. Prado Angelo [7],J. Prado Angelo [7],0,2
1° turno,A. Guillen Meza [6],G. Cadenasso,,,
1° turno,S. Rodriguez Taverna,L. Ambrogi [Alt],,,
1° turno,P. Boscardin Dias,H. Escurra Isnardi [WC],,,
1° turno,C. Huertas del Pino [Q],H. Rocha [3],,,
1° turno,G. Bueno [8],J. Didoni Bonini [WC],G. Bueno [8],2,0
1° turno,L. Midon,G. Villanueva,L. Midon,2,0
1° turno,N. Kicker,T. Cigarran [Q],,,
1° turno,G. Olivieri,J. Faria [2],,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,A. Barrena [4],M. Dellien,,,
Ottavi di finale,J. Varillas,J. Prado Angelo [7],,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,G. Bueno [8],L. Midon,,,
Ottavi di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Semifinali,,,,,
Semifinali,,,,,
Finale,,,,,
