Round,Player A,Player B,Winner,Participant A score,Participant B score
1° turno,C. Alcaraz [1],bye,C. Alcaraz [1],,
1° turno,T. Atmane,G. Dimitrov,,,
1° turno,J. Cerundolo,B. Van De Zandschulp,,,
1° turno,bye,A. Rinderknech [26],A. Rinderknech [26],,
1° turno,V. Vacherot [24],bye,V. Vacherot [24],,
1° turno,N. Borges,E. Nava,,,
1° turno,A. Shevchenko,Shimabukuro S. [Q],,,
1° turno,bye,C. Ruud [13],C. Ruud [13],,
1° turno,A. Bublik [10],bye,A. Bublik [10],,
1° turno,M. Zheng [WC],V. Kopriva [LL],,,
1° turno,F. Maestrelli [Q],R. Hijikata [Q],,,
1° turno,bye,L. Darderi [20],L. Darderi [20],,
1° turno,C. Norrie [27],bye,C. Norrie [27],,
1° turno,M. Arnaldi,M. Mcdonald [Q],,,
1° turno,S. Korda,F. Comesana,,,
1° turno,bye,A. De Minaur [6],A. De Minaur [6],,
1° turno,N. Djokovic [3],bye,N. Djokovic [3],,
1° turno,K. Majchrzak,G. Mpetshi Perricard,,,
1° turno,H. Hurkacz,A. Kovacevic,,,
1° turno,bye,C. Moutet [31],C. Moutet [31],,
1° turno,F. Cerundolo [19],bye,F. Cerundolo [19],,
1° turno,V. Royer,B. Bonzi [Q],,,
1° turno,F. Marozsan,R. Bautista Agut,,,
1° turno,bye,J. Draper [14],J. Draper [14],,
1° turno,D. Medvedev [11],bye,D. Medvedev [11],,
1° turno,A. Tabilo,R. Jodar [WC],,,
1° turno,C. Tseng [Q],S. Baez,,,
1° turno,bye,J. Lehecka [22],J. Lehecka [22],,
1° turno,U. Humbert [32],bye,U. Humbert [32],,
1° turno,D. Merida [Q],A. Michelsen,,,
1° turno,J. Fearnley,D. Dzumhur,,,
1° turno,bye,T. Fritz [7],T. Fritz [7],,
1° turno,L. Musetti [5],bye,L. Musetti [5],,
1° turno,M. Fucsovics,C. O'connell [Q],,,
1° turno,D. Prizmic [Q],T. Schoolkate [Q],,,
1° turno,bye,A. Fils [30],A. Fils [30],,
1° turno,A. Rublev [17],bye,A. Rublev [17],,
1° turno,M. Bellucci,G. Diallo,,,
1° turno,G. Monfils [WC],A. Galarneau [Q],,,
1° turno,bye,F. Auger-aliassime [9],F. Auger-aliassime [9],,
1° turno,F. Cobolli [15],bye,F. Cobolli [15],,
1° turno,D. Altmaier,M. Kecmanovic,,,
1° turno,J. Brooksby,A. Popyrin,,,
1° turno,bye,F. Tiafoe [21],F. Tiafoe [21],,
1° turno,B. Nakashima [28],bye,B. Nakashima [28],,
1° turno,C. Ugo Carabelli,M. Damm [WC],,,
1° turno,M. Berrettini,A. Mannarino,,,
1° turno,bye,A. Zverev [4],A. Zverev [4],,
1° turno,B. Shelton [8],bye,B. Shelton [8],,
1° turno,R. Opelka,E. Quinn,,,
1° turno,Q. Halys,A. Walton,,,
1° turno,bye,L. Tien [25],L. Tien [25],,
1° turno,A. Davidovich Fokina [18],bye,A. Davidovich Fokina [18],,
1° turno,Z. Svajda [WC],M. Cilic,,,
1° turno,M. Navone,M. Giron,,,
1° turno,bye,J. Mensik [12],J. Mensik [12],,
1° turno,K. Khachanov [16],bye,K. Khachanov [16],,
1° turno,J. Fonseca,R. Collignon,,,
1° turno,Z. Bergs,J. Struff,,,
1° turno,bye,T. Paul [23],T. Paul [23],,
1° turno,T. Etcheverry [29],bye,T. Etcheverry [29],,
1° turno,S. Tsitsipas,D. Shapovalov,,,
1° turno,D. Svrcina [Q],J. Duckworth,,,
1° turno,bye,J. Sinner [2],J. Sinner [2],,
2° turno,C. Alcaraz [1],,,,
2° turno,,A. Rinderknech [26],,,
2° turno,V. Vacherot [24],,,,
2° turno,,C. Ruud [13],,,
2° turno,A. Bublik [10],,,,
2° turno,,L. Darderi [20],,,
2° turno,C. Norrie [27],,,,
2° turno,,A. De Minaur [6],,,
2° turno,N. Djokovic [3],,,,
2° turno,,C. Moutet [31],,,
2° turno,F. Cerundolo [19],,,,
2° turno,,J. Draper [14],,,
2° turno,D. Medvedev [11],,,,
2° turno,,J. Lehecka [22],,,
2° turno,U. Humbert [32],,,,
2° turno,,T. Fritz [7],,,
2° turno,L. Musetti [5],,,,
2° turno,,A. Fils [30],,,
2° turno,A. Rublev [17],,,,
2° turno,,F. Auger-aliassime [9],,,
2° turno,F. Cobolli [15],,,,
2° turno,,F. Tiafoe [21],,,
2° turno,B. Nakashima [28],,,,
2° turno,,A. Zverev [4],,,
2° turno,B. Shelton [8],,,,
2° turno,,L. Tien [25],,,
2° turno,A. Davidovich Fokina [18],,,,
2° turno,,J. Mensik [12],,,
2° turno,K. Khachanov [16],,,,
2° turno,,T. Paul [23],,,
2° turno,T. Etcheverry [29],,,,
2° turno,,J. Sinner [2],,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
4° turno,,,,,
4° turno,,,,,
4° turno,,,,,
4° turno,,,,,
4° turno,,,,,
4° turno,,,,,
4° turno,,,,,
4° turno,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Semifinali,,,,,
Semifinali,,,,,
Finale,,,,,
